"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,57.1,,
"ITA","Italy","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,38.8,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,69.7,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,49.3,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,71.3,,
"CHE","Switzerland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,85,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,51.9,,
"DEU","Germany","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,50.5,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,44.3,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,80.4,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,62.1,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,80.3,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,68.3,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,78.2,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,51.6,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,58.5,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,53.6,,
"CZE","Czech Republic","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,56.7,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,70.5,,
"ESP","Spain","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,35.9,,
